Tanque,pH,Temperatura_C,Fecha,Hora,Jornada,Fecha_Hora,evento_externo,estado
Tanque 6,6.81,18.69,2025-02-13,15:25:00,Tarde,2025-02-13 15:25:00,Ninguno,0
Tanque 7,7.02,19.49,2025-02-13,15:30:00,Tarde,2025-02-13 15:30:00,Ninguno,0
Tanque 8,6.91,19.0,2025-02-13,15:35:00,Tarde,2025-02-13 15:35:00,Ninguno,0
Tanque 9,6.97,19.29,2025-02-13,15:40:00,Tarde,2025-02-13 15:40:00,Ninguno,0
Tanque 10,7.14,18.85,2025-02-13,15:45:00,Tarde,2025-02-13 15:45:00,Ninguno,0
Tanque 2,7.09,18.49,2025-02-14,08:30:00,Dia,2025-02-14 08:30:00,Ninguno,0
Tanque 3,6.96,19.1,2025-02-14,08:35:00,Dia,2025-02-14 08:35:00,Ninguno,0
Tanque 4,6.96,18.93,2025-02-14,08:40:00,Dia,2025-02-14 08:40:00,Ninguno,0
Tanque 5,7.17,21.18,2025-02-14,08:45:00,Dia,2025-02-14 08:45:00,Ninguno,1
Tanque 6,6.93,19.12,2025-02-14,08:50:00,Dia,2025-02-14 08:50:00,Ninguno,0
Tanque 7,7.05,19.11,2025-02-14,08:55:00,Dia,2025-02-14 08:55:00,Ninguno,0
Tanque 9,6.99,19.36,2025-02-14,09:05:00,Dia,2025-02-14 09:05:00,Ninguno,0
Tanque 10,7.25,18.07,2025-02-14,09:10:00,Dia,2025-02-14 09:10:00,Ninguno,0
Tanque 1,6.77,20.43,2025-02-14,15:00:00,Tarde,2025-02-14 15:00:00,Ninguno,1
Tanque 2,6.89,18.96,2025-02-14,15:05:00,Tarde,2025-02-14 15:05:00,Ninguno,0
Tanque 3,7.01,19.33,2025-02-14,15:10:00,Tarde,2025-02-14 15:10:00,Ninguno,0
Tanque 4,6.99,19.26,2025-02-14,15:15:00,Tarde,2025-02-14 15:15:00,Ninguno,0
Tanque 6,6.96,19.09,2025-02-14,15:25:00,Tarde,2025-02-14 15:25:00,Ninguno,0
Tanque 7,6.86,19.54,2025-02-14,15:30:00,Tarde,2025-02-14 15:30:00,Ninguno,0
Tanque 8,6.95,19.57,2025-02-14,15:35:00,Tarde,2025-02-14 15:35:00,Ninguno,0
Tanque 10,7.29,17.79,2025-02-14,15:45:00,Tarde,2025-02-14 15:45:00,Ninguno,0
Tanque 1,6.89,20.45,2025-02-17,08:25:00,Dia,2025-02-17 08:25:00,Ninguno,1
Tanque 2,7.09,18.66,2025-02-17,08:30:00,Dia,2025-02-17 08:30:00,Ninguno,0
Tanque 3,7.04,19.22,2025-02-17,08:35:00,Dia,2025-02-17 08:35:00,Ninguno,0
Tanque 4,7.11,18.67,2025-02-17,08:40:00,Dia,2025-02-17 08:40:00,Ninguno,0
Tanque 5,7.42,20.94,2025-02-17,08:45:00,Dia,2025-02-17 08:45:00,Ninguno,1
Tanque 6,6.95,18.83,2025-02-17,08:50:00,Dia,2025-02-17 08:50:00,Ninguno,0
Tanque 9,7.08,18.95,2025-02-17,09:05:00,Dia,2025-02-17 09:05:00,Ninguno,0
Tanque 10,7.22,17.94,2025-02-17,09:10:00,Dia,2025-02-17 09:10:00,Ninguno,0
Tanque 1,7.07,19.95,2025-02-17,15:00:00,Tarde,2025-02-17 15:00:00,Ninguno,0
Tanque 2,7.09,19.08,2025-02-17,15:05:00,Tarde,2025-02-17 15:05:00,Ninguno,0
Tanque 3,7.07,19.71,2025-02-17,15:10:00,Tarde,2025-02-17 15:10:00,Ninguno,0
Tanque 4,6.96,19.04,2025-02-17,15:15:00,Tarde,2025-02-17 15:15:00,Ninguno,0
Tanque 5,7.31,20.96,2025-02-17,15:20:00,Tarde,2025-02-17 15:20:00,Ninguno,1
Tanque 6,7.04,19.21,2025-02-17,15:25:00,Tarde,2025-02-17 15:25:00,Ninguno,0
Tanque 7,7.08,19.51,2025-02-17,15:30:00,Tarde,2025-02-17 15:30:00,Ninguno,0
Tanque 8,7.04,19.61,2025-02-17,15:35:00,Tarde,2025-02-17 15:35:00,Ninguno,0
Tanque 1,7.12,19.69,2025-02-18,08:25:00,Dia,2025-02-18 08:25:00,Ninguno,0
Tanque 3,7.0,18.92,2025-02-18,08:35:00,Dia,2025-02-18 08:35:00,Ninguno,0
Tanque 4,6.95,18.54,2025-02-18,08:40:00,Dia,2025-02-18 08:40:00,Ninguno,0
Tanque 5,7.25,19.79,2025-02-18,08:45:00,Dia,2025-02-18 08:45:00,Ninguno,0
Tanque 6,6.86,19.03,2025-02-18,08:50:00,Dia,2025-02-18 08:50:00,Ninguno,0
Tanque 7,7.03,19.34,2025-02-18,08:55:00,Dia,2025-02-18 08:55:00,Ninguno,0
Tanque 8,7.09,19.44,2025-02-18,09:00:00,Dia,2025-02-18 09:00:00,Ninguno,0
Tanque 9,6.95,18.91,2025-02-18,09:05:00,Dia,2025-02-18 09:05:00,Ninguno,0
Tanque 10,7.19,17.67,2025-02-18,09:10:00,Dia,2025-02-18 09:10:00,Ninguno,0
Tanque 1,6.93,20.14,2025-02-18,15:00:00,Tarde,2025-02-18 15:00:00,Ninguno,1
Tanque 2,7.06,18.48,2025-02-18,15:05:00,Tarde,2025-02-18 15:05:00,Ninguno,0
Tanque 3,6.92,19.14,2025-02-18,15:10:00,Tarde,2025-02-18 15:10:00,Ninguno,0
Tanque 4,7.03,18.97,2025-02-18,15:15:00,Tarde,2025-02-18 15:15:00,Ninguno,0
Tanque 5,7.19,19.53,2025-02-18,15:20:00,Tarde,2025-02-18 15:20:00,Ninguno,0
Tanque 6,6.91,18.6,2025-02-18,15:25:00,Tarde,2025-02-18 15:25:00,Ninguno,0
Tanque 8,7.13,20.78,2025-02-18,15:35:00,Tarde,2025-02-18 15:35:00,Ninguno,1
Tanque 9,7.04,19.31,2025-02-18,15:40:00,Tarde,2025-02-18 15:40:00,Ninguno,0
Tanque 10,7.25,18.57,2025-02-18,15:45:00,Tarde,2025-02-18 15:45:00,Ninguno,0
Tanque 1,7.01,19.48,2025-02-19,08:25:00,Dia,2025-02-19 08:25:00,Ninguno,0
Tanque 2,6.98,18.59,2025-02-19,08:30:00,Dia,2025-02-19 08:30:00,Ninguno,0
Tanque 3,7.01,18.86,2025-02-19,08:35:00,Dia,2025-02-19 08:35:00,Ninguno,0
Tanque 4,6.91,18.23,2025-02-19,08:40:00,Dia,2025-02-19 08:40:00,Ninguno,0
Tanque 5,7.12,19.59,2025-02-19,08:45:00,Dia,2025-02-19 08:45:00,Ninguno,0
Tanque 7,6.91,18.87,2025-02-19,08:55:00,Dia,2025-02-19 08:55:00,Ninguno,0
Tanque 8,7.17,20.49,2025-02-19,09:00:00,Dia,2025-02-19 09:00:00,Ninguno,1
Tanque 9,7.04,19.07,2025-02-19,09:05:00,Dia,2025-02-19 09:05:00,Ninguno,0
Tanque 10,7.14,18.83,2025-02-19,09:10:00,Dia,2025-02-19 09:10:00,Ninguno,0
Tanque 1,7.01,20.1,2025-02-19,15:00:00,Tarde,2025-02-19 15:00:00,Ninguno,1
Tanque 2,7.09,19.03,2025-02-19,15:05:00,Tarde,2025-02-19 15:05:00,Ninguno,0
Tanque 3,6.98,19.46,2025-02-19,15:10:00,Tarde,2025-02-19 15:10:00,Ninguno,0
Tanque 4,7.06,18.85,2025-02-19,15:15:00,Tarde,2025-02-19 15:15:00,Ninguno,0
